severidade;linha;nome;endereco_dsp;risco
ALTO;13;;Avenida Ministro Ivan Lins Barra da Tijuca Rio de Janeiro RJ 22620160 Brazil;sem numero de porta
ALTO;34;;Avenida Tiradentes Ciclo II Londrina PR 86072000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;39;;Terminal Asa Sul Asa Sul Brasilia DF 70610200 Brazil;sem numero de porta
ALTO;40;;Avenida Prefeito Luiz Latorre Chacara Urbana Jundiai SP 13209430 Brazil;sem numero de porta
ALTO;55;;In Pilates Barigui Santo Inacio Curitiba PR 82305100 Brazil;sem numero de porta
ALTO;62;;BR 153 Autodromo Goiania GO Brazil;sem numero de porta
ALTO;70;;Avenida Jose Correia Machado Jardim Parque Morada do Sol Montes Claros MG 39400116 Brazil;sem numero de porta
ALTO;75;;Rua Adao Dionisio Neugebauer Bortowiski Centro Eldorado do Sul RS 92990000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;76;;BR 470 Salto do Norte Blumenau SC Brazil;sem numero de porta
ALTO;85;;Ponto5 Rua Carolina Florence Jardim Nossa Senhora Auxiliadora Campinas SP 13073225 Brazil;sem numero de porta
ALTO;97;;Rua Eugenio Rocha Filho Subsetor Sul 3 Ribeirao Preto SP 14020640 Brazil;sem numero de porta
ALTO;110;;Rodovia Governador Leonel de Moura Brizola Imigrante Lajeado RS Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;115;;Gdm Seeds Passo Fundo RS 99052840 Brazil;sem numero de porta
ALTO;116;;BR 470 Navegantes Rio do Sul SC 89160000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;118;;PR 364 Jardim das Americas Guarapuava PR 85030230 Brazil;sem numero de porta
ALTO;121;;Viaduto Fernando Osorio Tres Vendas Pelotas RS 96070005 Brazil;sem numero de porta
ALTO;123;;Saccaro Bal Camboriu Dos Estados Balneario Camboriu SC Brazil;sem numero de porta
ALTO;125;;PR 323 Cruzeiro do Oeste PR 87400000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;127;;Avenida Doutor Afonso Vergueiro Sorocaba SP 18040000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;130;;Via Anchieta Santos SP 11095000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;134;;Rodovia BR 101 Canhanduba Itajai SC 88307710 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;136;;Rodovia da Maca Rio das Pedras Videira SC 89560000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;137;;Ponto De Carregamento Para Veiculos Eletricos BR 153 Panama GO 75580000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;138;;Faixa de Dominio da Rodovia 279 Chapeco SC Brazil;endereco de rodovia (57-67% falharam)
ALTO;139;;Estrada da Saudade Sao Miguel Curitiba PR Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;140;;Via Expressa Paul Fritz Kuehnrich 955 Blumenau SC 89052381 Brazil;endereco de rodovia (57-67% falharam)
ALTO;147;;BR 153 Itumbiara GO Brazil;"sem numero de porta; logradouro sem nome"
ALTO;148;;Vila Esperanca Tubarao SC Brazil;sem numero de porta
ALTO;152;;Rodovia Raposo Tavares Chacaras Bom Retiro Ourinhos SP 19915022 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;159;;Avenida Jurua Alphaville Barueri SP 06455010 Brazil;sem numero de porta
ALTO;162;;Via Anhanguera Limeira SP 13486850 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;167;;Avenida Presidente Castelo Branco Subsetor Leste 6 Ribeirao Preto SP 14095000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;168;;Rodovia Doutor Manoel Hyppolito Rego 1224 Sao Sebastiao SP 11608269 Brazil;endereco de rodovia (57-67% falharam)
ALTO;170;;Rua Francisco Glicerio Gramacho Duque de Caxias RJ 25055410 Brazil;sem numero de porta
ALTO;171;;Rio Boat Club Gloria Rio de Janeiro RJ 22210030 Brazil;sem numero de porta
ALTO;176;;Zletric BR 050 Minas Gerais Uberlandia MG Brazil;sem numero de porta
ALTO;177;;Exotico Prime Motel L 13 Ribeirao Preto SP Brazil;sem numero de porta
ALTO;178;;Rodovia BR 365 349 Patos de Minas MG 38706328 Brazil;endereco de rodovia (57-67% falharam)
ALTO;179;;Avenida dos Vinhedos Morada da Colina Uberlandia MG 38411159 Brazil;sem numero de porta
